Post_ID,DateTime,Platform,Region,Topic,User_Age,User_Gender,Text,Likes,Shares,Comments,Engagement,Rating,Sentiment,
1,02-04-2025,Facebook,Australia,Health,54,Male,It is acceptable for the price,999,289,71,1359,3,Neutral,
2,09-06-2025,Facebook,Canada,Politics,36,Female,"The product is okay, nothing special about it",236,250,55,541,3,Neutral,
3,13-11-2025,Instagram,Australia,Technology,32,Male,This is one of the best services I have ever used,460,68,113,641,5,Positive,
4,13-08-2025,Facebook,India,Technology,53,Female,Had a terrible experience using this service,451,82,67,600,2,Negative,
5,16-07-2025,Facebook,USA,Entertainment,50,Female,"The product is okay, nothing special about it",116,300,142,558,3,Neutral,
6,22-02-2026,Instagram,UK,Politics,53,Female,It works fine but has some minor issues,129,288,19,436,3,Neutral,
7,01-12-2025,Facebook,USA,Politics,41,Male,Amazing quality and fast delivery,413,168,62,643,5,Positive,
8,28-11-2025,Facebook,India,Technology,39,Male,"Absolutely loved the experience, highly recommended",197,98,164,459,5,Positive,
9,26-09-2025,Instagram,Canada,Technology,50,Male,It is acceptable for the price,873,267,139,1279,3,Neutral,
10,24-10-2025,Twitter,USA,Education,44,Female,"Waste of money, not recommended",809,238,176,1223,1,Negative,
11,10-09-2025,Twitter,India,Product,52,Male,"Absolutely loved the experience, highly recommended",714,77,121,912,5,Positive,
12,03-07-2025,Twitter,Canada,Technology,40,Male,"The product is okay, nothing special about it",522,142,172,836,3,Neutral,
13,10-02-2026,Instagram,Australia,Entertainment,18,Male,It is acceptable for the price,399,28,32,459,3,Neutral,
14,07-08-2025,Instagram,Canada,Technology,19,Female,Amazing quality and fast delivery,238,16,131,385,5,Positive,
15,22-07-2025,Facebook,India,Health,22,Female,Amazing quality and fast delivery,88,180,197,465,4,Positive,
16,15-02-2026,Instagram,USA,Education,39,Male,I recently bought this and it exceeded my expectations,944,264,151,1359,4,Positive,
17,07-02-2026,Facebook,USA,Technology,25,Female,"Average experience, could be improved",333,96,193,622,3,Neutral,
18,13-02-2026,Twitter,USA,Entertainment,46,Male,I recently bought this and it exceeded my expectations,402,46,122,570,4,Positive,
19,18-11-2025,Twitter,USA,Health,37,Male,"The product is okay, nothing special about it",241,261,163,665,3,Neutral,
20,12-10-2025,Twitter,Canada,Politics,33,Male,Very disappointed with the product quality,465,37,138,640,2,Negative,
21,16-04-2025,Facebook,Canada,Technology,28,Female,I recently bought this and it exceeded my expectations,487,237,42,766,4,Positive,
22,17-12-2025,Instagram,UK,Health,44,Female,It is acceptable for the price,913,129,174,1216,3,Neutral,
23,03-11-2025,Twitter,Canada,Product,60,Male,"Not too good, not too bad",999,257,47,1303,3,Neutral,
24,11-04-2025,Twitter,India,Education,52,Female,Amazing quality and fast delivery,599,157,139,895,4,Positive,
25,04-07-2025,Facebook,Australia,Technology,56,Female,"Not too good, not too bad",956,154,126,1236,3,Neutral,
26,04-04-2025,Facebook,UK,Product,24,Male,Very disappointed with the product quality,525,156,68,749,2,Negative,
27,09-11-2025,Facebook,Australia,Health,56,Female,The product did not meet my expectations,241,253,134,628,2,Negative,
28,12-07-2025,Facebook,India,Technology,51,Female,"Absolutely loved the experience, highly recommended",222,13,42,277,5,Positive,
29,17-01-2026,Twitter,UK,Product,43,Male,"The product is okay, nothing special about it",620,287,188,1095,3,Neutral,
30,31-05-2025,Instagram,UK,Technology,60,Female,"Absolutely loved the experience, highly recommended",200,254,80,534,4,Positive,
31,08-06-2025,Instagram,USA,Politics,22,Male,Had a terrible experience using this service,393,150,147,690,1,Negative,
32,02-01-2026,Instagram,UK,Politics,32,Male,Had a terrible experience using this service,650,278,133,1061,2,Negative,
33,07-04-2025,Twitter,India,Sports,25,Female,"Waste of money, not recommended",872,118,55,1045,1,Negative,
34,05-01-2026,Instagram,USA,Entertainment,53,Male,This is one of the best services I have ever used,580,237,144,961,5,Positive,
35,11-12-2025,Instagram,Australia,Entertainment,21,Male,"Average experience, could be improved",329,47,103,479,3,Neutral,
36,17-08-2025,Instagram,Australia,Sports,18,Male,I recently bought this and it exceeded my expectations,867,38,105,1010,4,Positive,
37,31-08-2025,Instagram,Australia,Politics,57,Male,Had a terrible experience using this service,613,253,38,904,1,Negative,
38,04-12-2025,Facebook,India,Politics,58,Male,Poor performance and bad customer support,633,119,130,882,1,Negative,
39,06-07-2025,Twitter,UK,Technology,31,Female,I recently bought this and it exceeded my expectations,391,84,161,636,5,Positive,
40,13-06-2025,Facebook,Canada,Education,31,Female,Amazing quality and fast delivery,585,212,128,925,5,Positive,
41,13-08-2025,Instagram,Australia,Politics,21,Male,Poor performance and bad customer support,506,266,50,822,1,Negative,
42,01-02-2026,Instagram,Canada,Education,29,Male,Had a terrible experience using this service,704,68,10,782,2,Negative,
43,12-08-2025,Twitter,USA,Education,32,Male,It works fine but has some minor issues,657,257,103,1017,3,Neutral,
44,22-03-2026,Instagram,India,Sports,29,Male,I recently bought this and it exceeded my expectations,326,47,197,570,5,Positive,
45,18-04-2025,Twitter,Canada,Entertainment,54,Female,I recently bought this and it exceeded my expectations,897,229,107,1233,5,Positive,
46,21-09-2025,Facebook,Australia,Product,55,Female,Amazing quality and fast delivery,774,58,43,875,5,Positive,
47,14-12-2025,Instagram,India,Product,35,Male,It works fine but has some minor issues,341,163,95,599,3,Neutral,
48,06-10-2025,Twitter,Australia,Health,50,Female,"The product is okay, nothing special about it",588,262,91,941,3,Neutral,
49,27-02-2026,Instagram,Australia,Product,26,Female,The product did not meet my expectations,625,103,36,764,1,Negative,
50,21-05-2025,Facebook,UK,Technology,26,Male,Very disappointed with the product quality,517,182,152,851,1,Negative,
51,18-08-2025,Facebook,India,Sports,59,Male,"Average experience, could be improved",706,247,24,977,3,Neutral,
52,12-11-2025,Facebook,India,Politics,49,Female,"Average experience, could be improved",739,267,146,1152,3,Neutral,
53,06-03-2026,Twitter,Canada,Education,32,Female,"Not too good, not too bad",60,11,33,104,3,Neutral,
54,05-05-2025,Instagram,Canada,Education,21,Female,Very disappointed with the product quality,448,25,132,605,2,Negative,
55,29-01-2026,Twitter,India,Sports,19,Female,The product did not meet my expectations,804,256,59,1119,2,Negative,
56,01-10-2025,Instagram,USA,Politics,50,Female,It works fine but has some minor issues,212,124,143,479,3,Neutral,
57,22-06-2025,Facebook,Canada,Product,60,Female,It works fine but has some minor issues,858,278,162,1298,3,Neutral,
58,25-07-2025,Facebook,UK,Sports,60,Female,Amazing quality and fast delivery,313,182,98,593,4,Positive,
59,23-10-2025,Twitter,USA,Product,52,Female,"The product is okay, nothing special about it",278,238,33,549,3,Neutral,
60,10-06-2025,Instagram,India,Politics,29,Male,It is acceptable for the price,909,80,86,1075,3,Neutral,
61,16-03-2026,Instagram,India,Education,19,Female,It works fine but has some minor issues,243,191,113,547,3,Neutral,
62,11-04-2025,Facebook,Canada,Product,41,Male,The product did not meet my expectations,174,287,84,545,2,Negative,
63,19-07-2025,Instagram,Canada,Entertainment,37,Male,Very disappointed with the product quality,697,199,104,1000,1,Negative,
64,28-01-2026,Twitter,UK,Politics,46,Female,This is one of the best services I have ever used,783,158,143,1084,5,Positive,
65,31-10-2025,Facebook,India,Technology,37,Male,I recently bought this and it exceeded my expectations,890,291,79,1260,4,Positive,
66,25-11-2025,Instagram,UK,Sports,31,Female,Amazing quality and fast delivery,326,144,129,599,5,Positive,
67,22-07-2025,Instagram,Canada,Health,26,Female,Had a terrible experience using this service,215,117,160,492,2,Negative,
68,22-02-2026,Facebook,Canada,Sports,56,Male,Poor performance and bad customer support,141,232,155,528,2,Negative,
69,10-06-2025,Facebook,USA,Entertainment,27,Male,The product did not meet my expectations,222,216,183,621,2,Negative,
70,30-01-2026,Instagram,India,Sports,30,Male,Very disappointed with the product quality,830,139,135,1104,2,Negative,
71,11-11-2025,Facebook,UK,Health,24,Male,The product did not meet my expectations,475,288,98,861,2,Negative,
72,31-07-2025,Facebook,UK,Education,60,Male,Had a terrible experience using this service,54,196,107,357,1,Negative,
73,04-06-2025,Twitter,Australia,Politics,47,Male,Very satisfied with the overall performance,453,115,75,643,5,Positive,
74,28-06-2025,Instagram,Australia,Technology,33,Female,"The product is okay, nothing special about it",478,63,21,562,3,Neutral,
75,07-01-2026,Facebook,India,Education,25,Male,This is one of the best services I have ever used,280,256,135,671,4,Positive,
76,03-09-2025,Facebook,UK,Product,43,Male,It is acceptable for the price,384,228,56,668,3,Neutral,
77,29-04-2025,Facebook,Australia,Entertainment,43,Female,The product did not meet my expectations,868,96,95,1059,1,Negative,
78,02-07-2025,Twitter,Australia,Education,34,Male,Amazing quality and fast delivery,121,53,63,237,4,Positive,
79,19-04-2025,Twitter,USA,Health,44,Male,It works fine but has some minor issues,616,157,54,827,3,Neutral,
80,04-10-2025,Instagram,India,Politics,56,Male,"Average experience, could be improved",667,174,121,962,3,Neutral,
81,20-04-2025,Twitter,Canada,Technology,54,Male,Had a terrible experience using this service,771,97,79,947,2,Negative,
82,05-01-2026,Instagram,Canada,Politics,51,Female,The product did not meet my expectations,563,285,76,924,1,Negative,
83,24-06-2025,Facebook,India,Product,57,Male,Amazing quality and fast delivery,405,178,40,623,4,Positive,
84,26-12-2025,Instagram,UK,Sports,20,Male,This is one of the best services I have ever used,174,176,93,443,5,Positive,
85,04-02-2026,Twitter,UK,Sports,19,Male,Amazing quality and fast delivery,809,163,131,1103,5,Positive,
86,28-11-2025,Instagram,Canada,Technology,28,Male,"Average experience, could be improved",706,160,169,1035,3,Neutral,
87,26-11-2025,Twitter,UK,Health,27,Male,This is one of the best services I have ever used,775,106,61,942,5,Positive,
88,04-09-2025,Facebook,UK,Education,29,Female,"Not too good, not too bad",429,155,38,622,3,Neutral,
89,05-01-2026,Instagram,UK,Sports,22,Female,This is one of the best services I have ever used,484,289,184,957,4,Positive,
90,29-06-2025,Instagram,Canada,Technology,45,Female,This is one of the best services I have ever used,565,246,156,967,5,Positive,
91,30-11-2025,Twitter,Australia,Technology,52,Male,It works fine but has some minor issues,635,138,147,920,3,Neutral,
92,04-10-2025,Facebook,Canada,Health,31,Male,"Waste of money, not recommended",146,123,147,416,2,Negative,
93,11-04-2025,Twitter,USA,Technology,41,Male,"Average experience, could be improved",680,75,188,943,3,Neutral,
94,28-02-2026,Facebook,Australia,Politics,58,Female,"Waste of money, not recommended",162,131,98,391,2,Negative,
95,13-09-2025,Instagram,Canada,Health,45,Female,Poor performance and bad customer support,652,110,177,939,1,Negative,
96,18-05-2025,Facebook,Canada,Education,20,Female,"Absolutely loved the experience, highly recommended",811,188,11,1010,5,Positive,
97,01-08-2025,Instagram,Canada,Sports,29,Male,I recently bought this and it exceeded my expectations,100,280,47,427,4,Positive,
